file,n,m,n_x_m,time,fitness,maxtoner
'/home/lucas/git/tonerscheduling/resources/1264.txt',800,800,640000,1.515,800.0,800
'/home/lucas/git/tonerscheduling/resources/1348.txt',20,20,400,0.004,15.0,15
'/home/lucas/git/tonerscheduling/resources/1340.txt',24,20,480,0.005,9.0,9
'/home/lucas/git/tonerscheduling/resources/123.txt',15,50,750,0.012,9.0,9
'/home/lucas/git/tonerscheduling/resources/138.txt',20,19,380,0.004,10.0,10
'/home/lucas/git/tonerscheduling/resources/217.txt',25,40,1000,0.013,14.0,14
'/home/lucas/git/tonerscheduling/resources/1019.txt',600,600,360000,1.153,599.0,599
'/home/lucas/git/tonerscheduling/resources/1080.txt',600,600,360000,2.943,438.0,438
'/home/lucas/git/tonerscheduling/resources/229.txt',30,10,300,0.003,9.0,9
'/home/lucas/git/tonerscheduling/resources/119.txt',15,50,750,0.013,11.0,11
'/home/lucas/git/tonerscheduling/resources/1054.txt',600,600,360000,1.025,600.0,600
'/home/lucas/git/tonerscheduling/resources/114.txt',15,40,600,0.009,9.0,9
'/home/lucas/git/tonerscheduling/resources/543.txt',1000,1000,1000000,2.515,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/604.txt',150,150,22500,0.129,144.0,144
'/home/lucas/git/tonerscheduling/resources/908.txt',400,400,160000,1.103,349.0,349
'/home/lucas/git/tonerscheduling/resources/935.txt',100,50,5000,0.028,46.0,46
'/home/lucas/git/tonerscheduling/resources/488.txt',1000,1000,1000000,2.594,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/13.txt',40,20,800,0.005,18.0,18
'/home/lucas/git/tonerscheduling/resources/1157.txt',800,800,640000,3.153,778.0,778
'/home/lucas/git/tonerscheduling/resources/949.txt',50,50,2500,0.014,47.0,47
'/home/lucas/git/tonerscheduling/resources/810.txt',400,400,160000,0.765,387.0,387
'/home/lucas/git/tonerscheduling/resources/1108.txt',600,600,360000,2.19,516.0,516
'/home/lucas/git/tonerscheduling/resources/358.txt',50,100,5000,0.069,24.0,24
'/home/lucas/git/tonerscheduling/resources/986.txt',600,600,360000,1.473,594.0,594
'/home/lucas/git/tonerscheduling/resources/1225.txt',800,800,640000,1.763,800.0,800
'/home/lucas/git/tonerscheduling/resources/915.txt',400,400,160000,0.761,377.0,377
'/home/lucas/git/tonerscheduling/resources/570.txt',1000,1000,1000000,5.426,946.0,946
'/home/lucas/git/tonerscheduling/resources/1121.txt',600,600,360000,2.018,559.0,559
'/home/lucas/git/tonerscheduling/resources/840.txt',400,400,160000,1.571,198.0,198
'/home/lucas/git/tonerscheduling/resources/1310.txt',800,800,640000,3.247,748.0,748
'/home/lucas/git/tonerscheduling/resources/511.txt',1000,1000,1000000,2.672,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/1166.txt',800,800,640000,2.712,796.0,796
'/home/lucas/git/tonerscheduling/resources/821.txt',400,400,160000,0.732,397.0,397
'/home/lucas/git/tonerscheduling/resources/403.txt',1000,1000,1000000,3.524,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/1283.txt',800,800,640000,1.638,800.0,800
'/home/lucas/git/tonerscheduling/resources/941.txt',100,50,5000,0.025,50.0,50
'/home/lucas/git/tonerscheduling/resources/120.txt',15,50,750,0.012,10.0,10
'/home/lucas/git/tonerscheduling/resources/345.txt',100,100,10000,0.067,80.0,80
'/home/lucas/git/tonerscheduling/resources/611.txt',150,150,22500,0.113,145.0,145
'/home/lucas/git/tonerscheduling/resources/100.txt',15,30,450,0.007,9.0,9
'/home/lucas/git/tonerscheduling/resources/1022.txt',600,600,360000,1.176,600.0,600
'/home/lucas/git/tonerscheduling/resources/781.txt',40,40,1600,0.009,39.0,39
'/home/lucas/git/tonerscheduling/resources/521.txt',1000,1000,1000000,2.245,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/1208.txt',800,800,640000,1.783,800.0,800
'/home/lucas/git/tonerscheduling/resources/155.txt',20,30,600,0.009,11.0,11
'/home/lucas/git/tonerscheduling/resources/1250.txt',800,800,640000,4.711,576.0,576
'/home/lucas/git/tonerscheduling/resources/794.txt',40,40,1600,0.011,34.0,34
'/home/lucas/git/tonerscheduling/resources/1266.txt',800,800,640000,1.673,800.0,800
'/home/lucas/git/tonerscheduling/resources/1139.txt',75,75,5625,0.035,63.0,63
'/home/lucas/git/tonerscheduling/resources/692.txt',175,175,30625,0.19,147.0,147
'/home/lucas/git/tonerscheduling/resources/70.txt',10,50,500,0.009,9.0,9
'/home/lucas/git/tonerscheduling/resources/772.txt',30,30,900,0.007,21.0,21
'/home/lucas/git/tonerscheduling/resources/317.txt',40,37,1480,0.014,21.0,21
'/home/lucas/git/tonerscheduling/resources/126.txt',15,50,750,0.011,9.0,9
'/home/lucas/git/tonerscheduling/resources/170.txt',20,50,1000,0.016,10.0,10
'/home/lucas/git/tonerscheduling/resources/714.txt',200,200,40000,0.387,88.0,88
'/home/lucas/git/tonerscheduling/resources/934.txt',100,50,5000,0.03,44.0,44
'/home/lucas/git/tonerscheduling/resources/177.txt',20,50,1000,0.016,12.0,12
'/home/lucas/git/tonerscheduling/resources/1026.txt',600,600,360000,0.997,600.0,600
'/home/lucas/git/tonerscheduling/resources/1278.txt',800,800,640000,1.491,800.0,800
